,Apple,Microsoft,Inflation
2020-08-31,-0.009672983565315646,-0.0021863049228384606,-1.2069244538528658
2020-09-30,0.0071762043910164105,0.003550074007848728,2.5229842976767562
2020-10-31,0.0036032524290832094,0.002405436517796521,0.11813940298779535
2020-11-30,-0.005852930074788426,-0.003139849487828239,-0.758130976950717
2020-12-31,-0.0022595583077485134,-0.0002509534837719702,1.006183624834014
2021-01-31,-0.0016212772069285006,-0.004883902716046568,1.1898130486706018
2021-02-28,0.0027212446567150945,0.0006634607926114168,-1.026009928845336
2021-03-31,0.0018583917615534993,-0.0008438829227749155,39.98290424296373
2021-04-30,-0.003463905555953143,-0.0017602739690298485,1.9078367722203753
2021-05-31,0.0033377226015292305,0.000987793693483252,-0.5871696457812418
2021-06-30,-0.004465648465700528,-0.004200831582043304,-1.0114154755093767
